ID,Name,Centroid,Area
A1,Düsseldorf,POINT (6.595969487607291 51.43025367856662),5294.28
A2,Köln,POINT (6.809230463200981 50.824605521403534),7369.38
A3,Münster,POINT (7.415887420589567 51.95063084469523),6919.18
A4,Detmold,POINT (8.784114414084058 51.93980353487769),6514.59
A5,Arnsberg,POINT (8.005933909427398 51.31610803038984),8014.61
