ID,Name,Centroid
V102,Uetze,POINT (10.169584966040635 52.460395501816215)
V103,Wedemark,POINT (9.708751821262283 52.558193749271716)
V104,Wennigsen (Deister),POINT (9.577889720251058 52.260857269366625)
V105,Wunstorf,POINT (9.392916153407679 52.43723067270696)
V106,Bassum,POINT (8.736872314553656 52.85453741320603)
V107,Diepholz,POINT (8.363876032747125 52.60976902996757)
V108,Stuhr,POINT (8.726370005069594 52.99794290935519)
V109,Sulingen,POINT (8.785624960004814 52.67451559734841)
V110,Syke,POINT (8.846264134805987 52.91004745791438)
V111,Twistringen,POINT (8.587550930410561 52.793554849120724)
V112,Wagenfeld,POINT (8.624395911412652 52.545599228663185)
V113,Weyhe,POINT (8.850862759740307 52.98873330118305)
V114,Altes Amt Lemförde,POINT (8.389189569806764 52.49576000818171)
V115,Barnstorf,POINT (8.513064228975034 52.69560516405439)
V116,Bruchhausen-Vilsen,POINT (8.98999091121631 52.822259150955055)
V117,Kirchdorf,POINT (8.756949465899657 52.59980593765345)
V118,Rehden,POINT (8.506936418792009 52.598235749766374)
V119,Schwaförden,POINT (8.77160233211529 52.754456385513905)
V120,Siedenburg,POINT (8.937363851567493 52.68979863898042)
V121,Aerzen,POINT (9.24451598096405 52.05641657162142)
V122,Bad Münder am Deister,POINT (9.434888670548235 52.20223933573627)
V123,Bad Pyrmont,POINT (9.279786867374746 51.971265815276546)
V124,Coppenbrügge,POINT (9.516953146564605 52.10702049887282)
V125,Emmerthal,POINT (9.409340161513883 52.02452295455617)
V126,Hameln,POINT (9.368764712173482 52.108127229256304)
V127,Hessisch Oldendorf,POINT (9.266552338379075 52.16444706193784)
V128,Salzhemmendorf,POINT (9.608090897047102 52.06745863278679)
V129,Alfeld (Leine),POINT (9.825149518133403 51.98570355998334)
V130,Algermissen,POINT (9.970993562531103 52.263190099389526)
V131,Bad Salzdetfurth,POINT (10.024504566571283 52.07232728158501)
V132,Bockenem,POINT (10.120270821741565 52.007259634748365)
V133,Diekholzen,POINT (9.945002681928452 52.09229933059943)
V134,Elze,POINT (9.704917803048401 52.118627254016104)
V135,Giesen,POINT (9.890994864041252 52.19863915146669)
V136,Harsum,POINT (10.000589698165063 52.2096715648838)
V137,Hildesheim,POINT (9.943774593471668 52.14465560369042)
V138,Holle,POINT (10.138268253320318 52.08561489848908)
V139,Nordstemmen,POINT (9.793459748364526 52.16611919028739)
V140,Sarstedt,POINT (9.85522639204433 52.24030869789441)
V141,Schellerten,POINT (10.09560594808681 52.16995501760045)
V142,Söhlde,POINT (10.18687578703234 52.18678966565699)
V143,Freden (Leine),POINT (9.927731210161227 51.93173139484022)
V144,Lamspringe,POINT (9.998323111514665 51.97388045301519)
V145,Sibbesse,POINT (9.904867044644549 52.03570346428318)
V146,Leinebergland,POINT (9.75142877771161 52.05186444896995)
V147,Delligsen,POINT (9.794534836574448 51.93465008694118)
V148,Holzminden,POINT (9.495851285342084 51.78424201700244)
V149,Bevern,POINT (9.528086141468068 51.889226603787705)
V150,Boffzen,POINT (9.415813578897206 51.700721565207175)
V151,Bodenwerder-Polle,POINT (9.46500238139098 51.94484481331342)
V152,Eschershausen-Stadtoldendorf,POINT (9.647347171256229 51.89385745690268)
V153,Boffzen,POINT (9.436855514979934 51.73576858722829)
V154,Eimen,POINT (9.736607680819889 51.90527709255151)
V155,Eschershausen,POINT (9.685198918870519 51.94439190001783)
V156,Grünenplan,POINT (9.73097229331408 51.94791764358378)
V157,Holzminden,POINT (9.519550738280705 51.8213349218228)
V158,Merxhausen,POINT (9.575883886004776 51.82126776411722)
V159,Wenzen,POINT (9.8056114299023 51.90408802947058)
V160,Nienburg (Weser),POINT (9.232698783874417 52.639214033039465)
V161,Rehburg-Loccum,POINT (9.192595374804615 52.46613312549377)
V162,Steyerberg,POINT (8.982271071714395 52.58701573167629)
V163,Heemsen,POINT (9.275560831906507 52.71609050590264)
V164,Steimbke,POINT (9.39381953506852 52.65610186265614)
V165,Uchte,POINT (8.845487050642499 52.47005698913572)
V166,Grafschaft Hoya,POINT (9.16016908024638 52.79946740652049)
V167,Mittelweser,POINT (9.130433499654163 52.53986540571643)
